Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time
2022-02-13,Barbell Overhead Press,Shoulders,0.0,kgs,10,,,
2022-02-13,Barbell Overhead Press,Shoulders,5.0,kgs,8,,,
2022-02-13,Barbell Overhead Press,Shoulders,10.0,kgs,6,,,
2022-02-13,Barbell Overhead Press,Shoulders,20.0,kgs,8,,,
2022-02-13,Barbell Overhead Press,Shoulders,25.0,kgs,8,,,
2022-02-13,Barbell Overhead Press,Shoulders,30.0,kgs,8,,,
2022-02-13,Barbell Overhead Press,Shoulders,35.0,kgs,5,,,
2022-02-13,Cable Lateral Raises,Shoulders,10.0,kgs,12,,,
2022-02-13,Cable Lateral Raises,Shoulders,10.0,kgs,12,,,
2022-02-13,Cable Lateral Raises,Shoulders,10.0,kgs,10,,,
2022-02-13,Cable Lateral Raises,Shoulders,10.0,kgs,8,,,
2022-02-13,Cable Rear Delt Row,Shoulders,24.0,kgs,12,,,
2022-02-13,Cable Rear Delt Row,Shoulders,28.0,kgs,12,,,
2022-02-13,Cable Rear Delt Row,Shoulders,28.0,kgs,12,,,
2022-02-13,Cable Rear Delt Row,Shoulders,30.0,kgs,12,,,
2022-02-13,Cable Rear Delt Row,Shoulders,30.0,kgs,12,,,
2022-02-13,Cable Y Raises,Shoulders,10.0,kgs,12,,,
2022-02-13,Cable Y Raises,Shoulders,10.0,kgs,4,,,
2022-02-13,Cable Y Raises,Shoulders,7.3,kgs,4,,,
2022-02-13,Cable Y Raises,Shoulders,5.0,kgs,12,,,
2022-02-13,Cable Y Raises,Shoulders,5.0,kgs,12,,,
2022-02-13,Barbell Curl Wide Grip,Biceps,15.0,kgs,12,,,
2022-02-13,Barbell Curl Wide Grip,Biceps,20.0,kgs,12,,,
2022-02-13,Barbell Curl Wide Grip,Biceps,25.0,kgs,12,,,
2022-02-13,Barbell Curl Wide Grip,Biceps,25.0,kgs,6,,,
2022-02-13,Barbell Curl Wide Grip,Biceps,20.0,kgs,5,,,
2022-02-13,Barbell Curl Wide Grip,Biceps,20.0,kgs,4,,,
2022-02-13,Barbell Curl Wide Grip,Biceps,15.0,kgs,6,,,
2022-02-13,Barbell Curl Wide Grip,Biceps,15.0,kgs,5,,,
2022-02-13,Barbell Curl Wide Grip,Biceps,12.5,kgs,6,,,
2022-02-14,Flat Barbell Bench Press,Chest,0.0,kgs,12,,,
2022-02-14,Flat Barbell Bench Press,Chest,10.0,kgs,12,,,
2022-02-14,Flat Barbell Bench Press,Chest,20.0,kgs,12,,,
2022-02-14,Flat Barbell Bench Press,Chest,40.0,kgs,12,,,
2022-02-14,Flat Barbell Bench Press,Chest,45.0,kgs,8,,,
2022-02-14,Flat Barbell Bench Press,Chest,40.0,kgs,8,,,
2022-02-14,Flat Barbell Bench Press,Chest,30.0,kgs,12,,,
2022-02-14,Flat Barbell Bench Press,Chest,35.0,kgs,7,,,
2022-02-14,Low Incline Dumbbell Bench Press,Chest,15.0,kgs,12,,,
2022-02-14,Low Incline Dumbbell Bench Press,Chest,17.5,kgs,12,,,
2022-02-14,Low Incline Dumbbell Bench Press,Chest,20.0,kgs,8,,,
2022-02-14,Low Incline Dumbbell Bench Press,Chest,15.0,kgs,12,,,
2022-02-14,Low Incline Dumbbell Bench Press,Chest,17.5,kgs,12,,,
2022-02-14,Assisted Dip,Chest,32.5,kgs,12,,,
2022-02-14,Assisted Dip,Chest,27.5,kgs,9,,,
2022-02-14,Assisted Dip,Chest,32.5,kgs,6,,,
2022-02-14,Assisted Dip,Chest,36.5,kgs,9,,,
2022-02-14,Across Body Press,Chest,13.5,kgs,12,,,
2022-02-14,Across Body Press,Chest,15.7,kgs,12,,,
2022-02-14,Across Body Press,Chest,18.0,kgs,12,,,
2022-02-14,Across Body Press,Chest,20.3,kgs,12,,,
2022-02-15,Back Extension,Back,0.0,kgs,12,,,
2022-02-15,Back Extension,Back,10.0,kgs,12,,,
2022-02-15,Back Extension,Back,25.0,kgs,12,,,
2022-02-15,Back Extension,Back,25.0,kgs,12,,,
2022-02-15,Back Extension,Back,25.0,kgs,12,,,
2022-02-15,Assisted Pull Up,Back,36.5,kgs,10,,,
2022-02-15,Assisted Pull Up,Back,36.5,kgs,8,,,
2022-02-15,Assisted Pull Up,Back,36.5,kgs,9,,,
2022-02-15,Assisted Pull Up,Back,36.5,kgs,7,,,
2022-02-15,One Arm High Cable Row,Back,10.25,kgs,12,,,
2022-02-15,One Arm High Cable Row,Back,14.75,kgs,12,,,
2022-02-15,One Arm High Cable Row,Back,17.0,kgs,12,,,
2022-02-15,One Arm High Cable Row,Back,21.25,kgs,10,,,
2022-02-15,Seated Cable Lat Row,Back,28.0,kgs,12,,,
2022-02-15,Seated Cable Lat Row,Back,32.0,kgs,12,,,
2022-02-15,Seated Cable Lat Row,Back,32.0,kgs,12,,,
2022-02-15,Seated Cable Lat Row,Back,36.0,kgs,12,,,
2022-02-15,Barbell Brachialis Curl,Biceps,20.0,kgs,12,,,
2022-02-15,Barbell Brachialis Curl,Biceps,20.0,kgs,12,,,
2022-02-15,Barbell Brachialis Curl,Biceps,20.0,kgs,9,,,
2022-02-15,Barbell Brachialis Curl,Biceps,20.0,kgs,12,,,
2022-02-15,Barbell Brachialis Curl,Biceps,20.0,kgs,6,,,
2022-02-20,Dumbbell Overhead Press,Shoulders,15.0,kgs,15,,,
2022-02-20,Dumbbell Overhead Press,Shoulders,15.0,kgs,15,,,
2022-02-20,Dumbbell Overhead Press,Shoulders,15.0,kgs,15,,,
2022-02-20,Dumbbell Overhead Press,Shoulders,15.0,kgs,15,,,
2022-02-20,Cable Face Pull,Shoulders,20.0,kgs,12,,,
2022-02-20,Cable Face Pull,Shoulders,24.0,kgs,12,,,
2022-02-20,Cable Face Pull,Shoulders,24.0,kgs,12,,,
2022-02-20,Cable Face Pull,Shoulders,24.0,kgs,12,,,
2022-02-20,Lateral Dumbbell Raise,Shoulders,8.0,kgs,15,,,
2022-02-20,Lateral Dumbbell Raise,Shoulders,8.0,kgs,15,,,
2022-02-20,Lateral Dumbbell Raise,Shoulders,9.0,kgs,15,,,
2022-02-20,Lateral Dumbbell Raise,Shoulders,9.0,kgs,15,,,
2022-02-20,Rear Delt Cable Pull,Shoulders,12.5,kgs,12,,,
2022-02-20,Rear Delt Cable Pull,Shoulders,14.75,kgs,12,,,
2022-02-20,Rear Delt Cable Pull,Shoulders,14.75,kgs,12,,,
2022-02-20,Rear Delt Cable Pull,Shoulders,17.0,kgs,12,,,
2022-02-20,Cable Curl Behind Body,Biceps,8.0,kgs,8,,,
2022-02-20,Cable Curl Behind Body,Biceps,5.75,kgs,9,,,
2022-02-20,Cable Curl Behind Body,Biceps,5.75,kgs,11,,,
2022-02-20,Cable Curl Behind Body,Biceps,5.75,kgs,9,,,
2022-02-20,Barbell Curl Wide Grip,Biceps,25.0,kgs,12,,,
2022-02-20,Barbell Curl Wide Grip,Biceps,20.0,kgs,12,,,
2022-02-20,Barbell Curl Wide Grip,Biceps,20.0,kgs,12,,,
2022-02-20,Barbell Curl Wide Grip,Biceps,20.0,kgs,12,,,
2022-02-21,Incline Barbell Bench Press,Chest,0.0,kgs,12,,,
2022-02-21,Incline Barbell Bench Press,Chest,10.0,kgs,8,,,
2022-02-21,Incline Barbell Bench Press,Chest,20.0,kgs,8,,,
2022-02-21,Incline Barbell Bench Press,Chest,40.0,kgs,12,,,
2022-02-21,Incline Barbell Bench Press,Chest,45.0,kgs,9,,,
2022-02-21,Incline Barbell Bench Press,Chest,45.0,kgs,8,,,
2022-02-21,Incline Barbell Bench Press,Chest,40.0,kgs,6,,,
2022-02-21,Bench Press Machine.,Chest,70.0,kgs,8,,,
2022-02-21,Bench Press Machine.,Chest,60.0,kgs,12,,,
2022-02-21,Bench Press Machine.,Chest,75.0,kgs,12,,,
2022-02-21,Bench Press Machine.,Chest,80.0,kgs,10,,,
2022-02-21,Assisted Dip,Chest,28.5,kgs,11,,,
2022-02-21,Assisted Dip,Chest,32.5,kgs,9,,,
2022-02-21,Assisted Dip,Chest,32.5,kgs,8,,,
2022-02-21,Assisted Dip,Chest,40.5,kgs,11,,,
2022-02-21,Seated Machine Fly,Chest,44.5,kgs,12,,,
2022-02-21,Seated Machine Fly,Chest,52.0,kgs,11,,,
2022-02-21,Seated Machine Fly,Chest,52.0,kgs,12,,,
2022-02-21,Seated Machine Fly,Chest,57.0,kgs,6,,,
2022-02-21,Bar Pushdown,Triceps,28.0,kgs,15,,,
2022-02-21,Bar Pushdown,Triceps,32.0,kgs,11,,,
2022-02-21,Bar Pushdown,Triceps,32.0,kgs,12,,,
2022-02-21,Bar Pushdown,Triceps,32.0,kgs,11,,,
2022-02-21,Bar Pushdown,Triceps,36.0,kgs,8,,,
2022-02-22,Back Extension,Back,0.0,kgs,12,,,
2022-02-22,Back Extension,Back,25.0,kgs,12,,,
2022-02-22,Back Extension,Back,30.0,kgs,12,,,
2022-02-22,Back Extension,Back,30.0,kgs,12,,,
2022-02-22,Straight-Arm Cable Pushdown,Back,35.0,kgs,15,,,
2022-02-22,Straight-Arm Cable Pushdown,Back,40.0,kgs,15,,,
2022-02-22,Straight-Arm Cable Pushdown,Back,45.0,kgs,12,,,
2022-02-22,Straight-Arm Cable Pushdown,Back,45.0,kgs,10,,,
2022-02-22,Meadow Row,Back,10.0,kgs,12,,,
2022-02-22,Meadow Row,Back,15.0,kgs,12,,,
2022-02-22,Meadow Row,Back,20.0,kgs,12,,,
2022-02-22,Meadow Row,Back,25.0,kgs,12,,,
2022-02-22,Cage Shrugs,Back,30.0,kgs,12,,,
2022-02-22,Cage Shrugs,Back,40.0,kgs,12,,,
2022-02-22,Cage Shrugs,Back,40.0,kgs,12,,,
2022-02-22,Cage Shrugs,Back,40.0,kgs,15,,,
